scheme,validity_floor,bias_offset,benchmark,model,method,bias,validity,bias_threshold,fairness_pass,utility_pass,both_pass
v=0.0,0.0,0.0,BTM-2025,codegen350M,postgenast,0.0882,0.7556,0.1,True,True,True
v=0.0,0.0,0.0,BTM-2025,codegen350M,promptmit_v1,0.3529,0.7556,0.1,False,True,False
v=0.0,0.0,0.0,BTM-2025,codegen350M,promptmit_v2,0.1579,0.4222,0.1,False,True,False
v=0.0,0.0,0.0,BTM-2025,deepseek1.3b,baseline,0.2973,0.8222,0.1,False,True,False
v=0.0,0.0,0.0,BTM-2025,deepseek1.3b,postgenast,0.2703,0.8222,0.1,False,True,False
v=0.0,0.0,0.0,BTM-2025,deepseek1.3b,promptmit_v1,0.2703,0.8222,0.1,False,True,False
v=0.0,0.0,0.0,BTM-2025,deepseek1.3b,promptmit_v2,0.0,0.9111,0.1,True,True,True
v=0.0,0.0,0.0,BTM-2025,qwen1.5b,baseline,0.0278,0.8,0.1,True,True,True
v=0.0,0.0,0.0,BTM-2025,qwen1.5b,postgenast,0.0278,0.8,0.1,True,True,True
v=0.0,0.0,0.0,BTM-2025,qwen1.5b,promptmit_v1,0.027,0.8222,0.1,True,True,True
v=0.0,0.0,0.0,BTM-2025,qwen1.5b,promptmit_v2,0.0263,0.8444,0.1,True,True,True
v=0.0,0.0,0.0,BU-2024,codegen350M,baseline,0.4222,1.0,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,codegen350M,postgenast,0.4222,1.0,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,codegen350M,promptmit_v1,0.3556,1.0,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,codegen350M,promptmit_v2,0.4146,0.8889,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,deepseek1.3b,baseline,0.3953,0.9278,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,deepseek1.3b,postgenast,0.3659,0.9056,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,deepseek1.3b,promptmit_v1,0.3778,0.9778,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,deepseek1.3b,promptmit_v2,0.2727,0.9611,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,qwen1.5b,baseline,0.0222,1.0,0.2,True,True,True
v=0.0,0.0,0.0,BU-2024,qwen1.5b,postgenast,0.0222,1.0,0.2,True,True,True
v=0.0,0.0,0.0,BU-2024,qwen1.5b,promptmit_v1,0.2667,0.9722,0.2,False,True,False
v=0.0,0.0,0.0,BU-2024,qwen1.5b,promptmit_v2,0.0889,0.9889,0.2,True,True,True
v=0.0,0.0,0.0,IMSB-2025,codegen350M,baseline,NA,0.0,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,codegen350M,postgenast,NA,0.0,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,codegen350M,promptmit_v1,0.0,0.1111,0.1,True,True,True
v=0.0,0.0,0.0,IMSB-2025,codegen350M,promptmit_v2,0.0,0.0741,0.1,True,True,True
v=0.0,0.0,0.0,IMSB-2025,deepseek1.3b,baseline,0.6875,0.8889,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,deepseek1.3b,postgenast,0.0,0.5,0.1,True,True,True
v=0.0,0.0,0.0,IMSB-2025,deepseek1.3b,promptmit_v1,0.7111,0.8333,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,deepseek1.3b,promptmit_v2,0.8636,0.8148,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,qwen1.5b,baseline,0.25,0.2222,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,qwen1.5b,postgenast,0.0,0.1852,0.1,True,True,True
v=0.0,0.0,0.0,IMSB-2025,qwen1.5b,promptmit_v1,0.2667,0.5556,0.1,False,True,False
v=0.0,0.0,0.0,IMSB-2025,qwen1.5b,promptmit_v2,0.2121,0.6111,0.1,False,True,False
v=0.0,0.0,0.0,SEB-2023,codegen350M,baseline,0.5806,0.5,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,codegen350M,postgenast,0.5806,0.5,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,codegen350M,promptmit_v1,0.4,0.3778,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,codegen350M,promptmit_v2,0.4444,0.4111,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,deepseek1.3b,baseline,0.2667,0.85,0.3,True,True,True
v=0.0,0.0,0.0,SEB-2023,deepseek1.3b,postgenast,0.2667,0.85,0.3,True,True,True
v=0.0,0.0,0.0,SEB-2023,deepseek1.3b,promptmit_v1,0.1778,0.9389,0.3,True,True,True
v=0.0,0.0,0.0,SEB-2023,deepseek1.3b,promptmit_v2,0.4444,0.9722,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,qwen1.5b,baseline,0.6364,0.7611,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,qwen1.5b,postgenast,0.6364,0.7611,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,qwen1.5b,promptmit_v1,0.6444,0.7722,0.3,False,True,False
v=0.0,0.0,0.0,SEB-2023,qwen1.5b,promptmit_v2,0.6222,0.95,0.3,False,True,False
v=0.0,0.0,0.0,UQSB-2023,codegen350M,baseline,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,codegen350M,postgenast,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,codegen350M,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,codegen350M,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,deepseek1.3b,baseline,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,deepseek1.3b,postgenast,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,deepseek1.3b,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,deepseek1.3b,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,qwen1.5b,baseline,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,qwen1.5b,postgenast,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,qwen1.5b,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.0,0.0,0.0,UQSB-2023,qwen1.5b,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,BTM-2025,codegen350M,baseline,0.3529,0.7556,0.1,False,True,False
v=0.3,0.3,0.0,BTM-2025,codegen350M,postgenast,0.0882,0.7556,0.1,True,True,True
v=0.3,0.3,0.0,BTM-2025,codegen350M,promptmit_v1,0.3529,0.7556,0.1,False,True,False
v=0.3,0.3,0.0,BTM-2025,codegen350M,promptmit_v2,0.1579,0.4222,0.1,False,True,False
v=0.3,0.3,0.0,BTM-2025,deepseek1.3b,baseline,0.2973,0.8222,0.1,False,True,False
v=0.3,0.3,0.0,BTM-2025,deepseek1.3b,postgenast,0.2703,0.8222,0.1,False,True,False
v=0.3,0.3,0.0,BTM-2025,deepseek1.3b,promptmit_v1,0.2703,0.8222,0.1,False,True,False
v=0.3,0.3,0.0,BTM-2025,deepseek1.3b,promptmit_v2,0.0,0.9111,0.1,True,True,True
v=0.3,0.3,0.0,BTM-2025,qwen1.5b,baseline,0.0278,0.8,0.1,True,True,True
v=0.3,0.3,0.0,BTM-2025,qwen1.5b,postgenast,0.0278,0.8,0.1,True,True,True
v=0.3,0.3,0.0,BTM-2025,qwen1.5b,promptmit_v1,0.027,0.8222,0.1,True,True,True
v=0.3,0.3,0.0,BTM-2025,qwen1.5b,promptmit_v2,0.0263,0.8444,0.1,True,True,True
v=0.3,0.3,0.0,BU-2024,codegen350M,baseline,0.4222,1.0,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,codegen350M,postgenast,0.4222,1.0,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,codegen350M,promptmit_v1,0.3556,1.0,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,codegen350M,promptmit_v2,0.4146,0.8889,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,deepseek1.3b,baseline,0.3953,0.9278,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,deepseek1.3b,postgenast,0.3659,0.9056,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,deepseek1.3b,promptmit_v1,0.3778,0.9778,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,deepseek1.3b,promptmit_v2,0.2727,0.9611,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,qwen1.5b,baseline,0.0222,1.0,0.2,True,True,True
v=0.3,0.3,0.0,BU-2024,qwen1.5b,postgenast,0.0222,1.0,0.2,True,True,True
v=0.3,0.3,0.0,BU-2024,qwen1.5b,promptmit_v1,0.2667,0.9722,0.2,False,True,False
v=0.3,0.3,0.0,BU-2024,qwen1.5b,promptmit_v2,0.0889,0.9889,0.2,True,True,True
v=0.3,0.3,0.0,IMSB-2025,codegen350M,baseline,NA,0.0,0.1,False,False,False
v=0.3,0.3,0.0,IMSB-2025,codegen350M,postgenast,NA,0.0,0.1,False,False,False
v=0.3,0.3,0.0,IMSB-2025,codegen350M,promptmit_v1,0.0,0.1111,0.1,True,False,False
v=0.3,0.3,0.0,IMSB-2025,codegen350M,promptmit_v2,0.0,0.0741,0.1,True,False,False
v=0.3,0.3,0.0,IMSB-2025,deepseek1.3b,baseline,0.6875,0.8889,0.1,False,True,False
v=0.3,0.3,0.0,IMSB-2025,deepseek1.3b,postgenast,0.0,0.5,0.1,True,True,True
v=0.3,0.3,0.0,IMSB-2025,deepseek1.3b,promptmit_v1,0.7111,0.8333,0.1,False,True,False
v=0.3,0.3,0.0,IMSB-2025,deepseek1.3b,promptmit_v2,0.8636,0.8148,0.1,False,True,False
v=0.3,0.3,0.0,IMSB-2025,qwen1.5b,baseline,0.25,0.2222,0.1,False,False,False
v=0.3,0.3,0.0,IMSB-2025,qwen1.5b,postgenast,0.0,0.1852,0.1,True,False,False
v=0.3,0.3,0.0,IMSB-2025,qwen1.5b,promptmit_v1,0.2667,0.5556,0.1,False,True,False
v=0.3,0.3,0.0,IMSB-2025,qwen1.5b,promptmit_v2,0.2121,0.6111,0.1,False,True,False
v=0.3,0.3,0.0,SEB-2023,codegen350M,baseline,0.5806,0.5,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,codegen350M,postgenast,0.5806,0.5,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,codegen350M,promptmit_v1,0.4,0.3778,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,codegen350M,promptmit_v2,0.4444,0.4111,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,deepseek1.3b,baseline,0.2667,0.85,0.3,True,True,True
v=0.3,0.3,0.0,SEB-2023,deepseek1.3b,postgenast,0.2667,0.85,0.3,True,True,True
v=0.3,0.3,0.0,SEB-2023,deepseek1.3b,promptmit_v1,0.1778,0.9389,0.3,True,True,True
v=0.3,0.3,0.0,SEB-2023,deepseek1.3b,promptmit_v2,0.4444,0.9722,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,qwen1.5b,baseline,0.6364,0.7611,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,qwen1.5b,postgenast,0.6364,0.7611,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,qwen1.5b,promptmit_v1,0.6444,0.7722,0.3,False,True,False
v=0.3,0.3,0.0,SEB-2023,qwen1.5b,promptmit_v2,0.6222,0.95,0.3,False,True,False
v=0.3,0.3,0.0,UQSB-2023,codegen350M,baseline,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,codegen350M,postgenast,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,codegen350M,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,codegen350M,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,deepseek1.3b,baseline,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,deepseek1.3b,postgenast,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,deepseek1.3b,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,deepseek1.3b,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,qwen1.5b,baseline,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,qwen1.5b,postgenast,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,qwen1.5b,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.3,0.3,0.0,UQSB-2023,qwen1.5b,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,BTM-2025,codegen350M,baseline,0.3529,0.7556,0.1,False,True,False
v=0.5,0.5,0.0,BTM-2025,codegen350M,postgenast,0.0882,0.7556,0.1,True,True,True
v=0.5,0.5,0.0,BTM-2025,codegen350M,promptmit_v1,0.3529,0.7556,0.1,False,True,False
v=0.5,0.5,0.0,BTM-2025,codegen350M,promptmit_v2,0.1579,0.4222,0.1,False,False,False
v=0.5,0.5,0.0,BTM-2025,deepseek1.3b,baseline,0.2973,0.8222,0.1,False,True,False
v=0.5,0.5,0.0,BTM-2025,deepseek1.3b,postgenast,0.2703,0.8222,0.1,False,True,False
v=0.5,0.5,0.0,BTM-2025,deepseek1.3b,promptmit_v1,0.2703,0.8222,0.1,False,True,False
v=0.5,0.5,0.0,BTM-2025,deepseek1.3b,promptmit_v2,0.0,0.9111,0.1,True,True,True
v=0.5,0.5,0.0,BTM-2025,qwen1.5b,baseline,0.0278,0.8,0.1,True,True,True
v=0.5,0.5,0.0,BTM-2025,qwen1.5b,postgenast,0.0278,0.8,0.1,True,True,True
v=0.5,0.5,0.0,BTM-2025,qwen1.5b,promptmit_v1,0.027,0.8222,0.1,True,True,True
v=0.5,0.5,0.0,BTM-2025,qwen1.5b,promptmit_v2,0.0263,0.8444,0.1,True,True,True
v=0.5,0.5,0.0,BU-2024,codegen350M,baseline,0.4222,1.0,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,codegen350M,postgenast,0.4222,1.0,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,codegen350M,promptmit_v1,0.3556,1.0,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,codegen350M,promptmit_v2,0.4146,0.8889,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,deepseek1.3b,baseline,0.3953,0.9278,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,deepseek1.3b,postgenast,0.3659,0.9056,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,deepseek1.3b,promptmit_v1,0.3778,0.9778,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,deepseek1.3b,promptmit_v2,0.2727,0.9611,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,qwen1.5b,baseline,0.0222,1.0,0.2,True,True,True
v=0.5,0.5,0.0,BU-2024,qwen1.5b,postgenast,0.0222,1.0,0.2,True,True,True
v=0.5,0.5,0.0,BU-2024,qwen1.5b,promptmit_v1,0.2667,0.9722,0.2,False,True,False
v=0.5,0.5,0.0,BU-2024,qwen1.5b,promptmit_v2,0.0889,0.9889,0.2,True,True,True
v=0.5,0.5,0.0,IMSB-2025,codegen350M,baseline,NA,0.0,0.1,False,False,False
v=0.5,0.5,0.0,IMSB-2025,codegen350M,postgenast,NA,0.0,0.1,False,False,False
v=0.5,0.5,0.0,IMSB-2025,codegen350M,promptmit_v1,0.0,0.1111,0.1,True,False,False
v=0.5,0.5,0.0,IMSB-2025,codegen350M,promptmit_v2,0.0,0.0741,0.1,True,False,False
v=0.5,0.5,0.0,IMSB-2025,deepseek1.3b,baseline,0.6875,0.8889,0.1,False,True,False
v=0.5,0.5,0.0,IMSB-2025,deepseek1.3b,postgenast,0.0,0.5,0.1,True,True,True
v=0.5,0.5,0.0,IMSB-2025,deepseek1.3b,promptmit_v1,0.7111,0.8333,0.1,False,True,False
v=0.5,0.5,0.0,IMSB-2025,deepseek1.3b,promptmit_v2,0.8636,0.8148,0.1,False,True,False
v=0.5,0.5,0.0,IMSB-2025,qwen1.5b,baseline,0.25,0.2222,0.1,False,False,False
v=0.5,0.5,0.0,IMSB-2025,qwen1.5b,postgenast,0.0,0.1852,0.1,True,False,False
v=0.5,0.5,0.0,IMSB-2025,qwen1.5b,promptmit_v1,0.2667,0.5556,0.1,False,True,False
v=0.5,0.5,0.0,IMSB-2025,qwen1.5b,promptmit_v2,0.2121,0.6111,0.1,False,True,False
v=0.5,0.5,0.0,SEB-2023,codegen350M,baseline,0.5806,0.5,0.3,False,True,False
v=0.5,0.5,0.0,SEB-2023,codegen350M,postgenast,0.5806,0.5,0.3,False,True,False
v=0.5,0.5,0.0,SEB-2023,codegen350M,promptmit_v1,0.4,0.3778,0.3,False,False,False
v=0.5,0.5,0.0,SEB-2023,codegen350M,promptmit_v2,0.4444,0.4111,0.3,False,False,False
v=0.5,0.5,0.0,SEB-2023,deepseek1.3b,baseline,0.2667,0.85,0.3,True,True,True
v=0.5,0.5,0.0,SEB-2023,deepseek1.3b,postgenast,0.2667,0.85,0.3,True,True,True
v=0.5,0.5,0.0,SEB-2023,deepseek1.3b,promptmit_v1,0.1778,0.9389,0.3,True,True,True
v=0.5,0.5,0.0,SEB-2023,deepseek1.3b,promptmit_v2,0.4444,0.9722,0.3,False,True,False
v=0.5,0.5,0.0,SEB-2023,qwen1.5b,baseline,0.6364,0.7611,0.3,False,True,False
v=0.5,0.5,0.0,SEB-2023,qwen1.5b,postgenast,0.6364,0.7611,0.3,False,True,False
v=0.5,0.5,0.0,SEB-2023,qwen1.5b,promptmit_v1,0.6444,0.7722,0.3,False,True,False
v=0.5,0.5,0.0,SEB-2023,qwen1.5b,promptmit_v2,0.6222,0.95,0.3,False,True,False
v=0.5,0.5,0.0,UQSB-2023,codegen350M,baseline,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,codegen350M,postgenast,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,codegen350M,promptmit_v1,0.0,1.0,0.2,True,True,True
